,0,1,2,w
375,0,54,0,192375.0
376,0,54,0,192375.0
377,0,54,0,192375.0
378,0,54,0,192375.0
379,0,54,0,192375.0
380,0,54,0,192375.0
381,0,54,0,192375.0
382,0,54,0,192375.0
383,0,54,0,192375.0
384,0,54,0,192375.0
385,0,54,0,192375.0
386,0,54,0,192375.0
387,0,54,0,192375.0
388,0,54,0,192375.0
389,0,54,0,192375.0
390,0,54,0,192375.0
391,0,54,0,192375.0
392,0,54,0,192375.0
393,0,54,0,192375.0
394,0,54,0,192375.0
395,0,54,0,192375.0
396,0,54,0,192375.0
397,0,54,0,192375.0
398,0,54,0,192375.0
399,0,54,0,192375.0
400,0,54,0,192375.0
401,0,54,0,192375.0
402,0,54,0,192375.0
403,0,54,0,192375.0
404,0,54,0,192375.0
405,0,54,0,192375.0
406,0,54,0,192375.0
407,0,54,0,192375.0
408,0,54,0,192375.0
409,0,54,0,192375.0
410,0,54,0,192375.0
411,0,54,0,192375.0
412,0,54,0,192375.0
413,0,54,0,192375.0
414,0,50,0,190000.0
415,0,48,0,185250.0
416,0,44,0,182400.0
417,0,48,0,182400.0
418,12,0,24,179928.0
419,12,0,24,179928.0
420,0,50,0,178125.0
421,24,0,18,174636.0
422,24,0,18,174636.0
423,0,44,0,171000.0
424,0,40,0,171000.0
425,0,40,0,171000.0
426,0,40,0,171000.0
427,0,40,0,171000.0
428,0,40,0,171000.0
429,0,40,0,171000.0
430,0,40,0,171000.0
431,0,40,0,171000.0
432,0,40,0,171000.0
433,0,40,0,171000.0
434,0,40,0,171000.0
435,0,40,0,171000.0
436,0,40,0,171000.0
437,0,40,0,171000.0
438,0,40,0,171000.0
439,0,40,0,171000.0
440,0,40,0,171000.0
441,0,40,0,171000.0
442,0,40,0,171000.0
443,0,40,0,171000.0
444,0,40,0,171000.0
445,0,40,0,171000.0
446,0,40,0,171000.0
447,0,40,0,171000.0
448,0,40,0,171000.0
449,0,40,0,171000.0
450,0,40,0,171000.0
451,0,40,0,171000.0
452,0,40,0,171000.0
453,0,40,0,171000.0
454,0,40,0,171000.0
455,0,40,0,171000.0
456,0,40,0,171000.0
457,0,40,0,171000.0
458,0,40,0,171000.0
459,0,40,0,171000.0
460,0,40,0,171000.0
461,0,40,0,171000.0
462,0,40,0,171000.0
463,0,40,0,171000.0
464,0,40,0,171000.0
465,0,40,0,171000.0
466,0,42,0,171000.0
467,0,42,0,171000.0
468,0,42,0,171000.0
469,0,42,0,171000.0
470,0,42,0,171000.0
471,0,42,0,171000.0
472,0,42,0,171000.0
473,0,42,0,171000.0
474,0,42,0,171000.0
475,0,42,0,171000.0
476,0,42,0,171000.0
477,0,42,0,171000.0
478,0,42,0,171000.0
479,0,42,0,171000.0
480,0,42,0,171000.0
481,0,42,0,171000.0
482,0,42,0,171000.0
483,0,42,0,171000.0
484,0,42,0,171000.0
485,0,42,0,171000.0
486,0,42,0,171000.0
487,0,42,0,171000.0
488,0,42,0,171000.0
489,0,42,0,171000.0
490,0,42,0,171000.0
491,0,42,0,171000.0
492,0,42,0,171000.0
493,0,42,0,171000.0
494,0,42,0,171000.0
495,0,42,0,171000.0
496,0,42,0,171000.0
497,0,42,0,171000.0
498,0,42,0,171000.0
499,0,42,0,171000.0
500,0,42,0,171000.0
501,0,42,0,171000.0
502,0,42,0,171000.0
503,0,42,0,171000.0
504,0,42,0,171000.0
505,0,42,0,171000.0
506,0,42,0,171000.0
507,0,42,0,171000.0
508,0,42,0,171000.0
509,0,42,0,171000.0
510,0,42,0,171000.0
511,0,42,0,171000.0
512,0,42,0,171000.0
513,0,42,0,171000.0
514,0,42,0,171000.0
515,0,42,0,171000.0
516,0,42,0,171000.0
517,0,42,0,171000.0
518,0,42,0,171000.0
519,0,42,0,171000.0
520,0,42,0,171000.0
521,0,42,0,171000.0
522,0,42,0,171000.0
523,0,42,0,171000.0
524,0,42,0,171000.0
525,0,42,0,171000.0
526,0,42,0,171000.0
527,0,42,0,171000.0
528,0,42,0,171000.0
529,0,42,0,171000.0
530,0,42,0,171000.0
531,0,42,0,171000.0
532,0,42,0,171000.0
533,0,42,0,171000.0
534,0,42,0,171000.0
535,0,42,0,171000.0
536,0,42,0,171000.0
537,0,42,0,171000.0
538,0,42,0,171000.0
539,0,42,0,171000.0
540,0,42,0,171000.0
541,0,42,0,171000.0
542,0,42,0,171000.0
543,0,42,0,171000.0
544,0,42,0,171000.0
545,0,42,0,171000.0
546,0,42,0,171000.0
547,0,42,0,171000.0
548,0,42,0,171000.0
549,0,42,0,171000.0
550,0,42,0,171000.0
551,0,42,0,171000.0
552,0,42,0,171000.0
553,0,42,0,171000.0
554,0,42,0,171000.0
555,0,42,0,171000.0
556,0,42,0,171000.0
557,0,42,0,171000.0
558,0,42,0,171000.0
559,0,42,0,171000.0
560,0,42,0,171000.0
561,0,42,0,171000.0
562,0,42,0,171000.0
563,0,42,0,171000.0
564,0,42,0,171000.0
565,0,42,0,171000.0
566,0,42,0,171000.0
567,0,42,0,171000.0
568,0,42,0,171000.0
569,0,42,0,171000.0
570,0,42,0,171000.0
571,0,42,0,171000.0
572,0,42,0,171000.0
573,0,42,0,171000.0
574,0,42,0,171000.0
575,0,42,0,171000.0
576,0,42,0,171000.0
577,0,42,0,171000.0
578,0,42,0,171000.0
579,0,42,0,171000.0
580,0,42,0,171000.0
581,0,42,0,171000.0
582,0,42,0,171000.0
583,0,42,0,171000.0
584,0,42,0,171000.0
585,0,42,0,171000.0
586,0,42,0,171000.0
587,0,42,0,171000.0
588,0,42,0,171000.0
589,0,42,0,171000.0
590,0,42,0,171000.0
591,0,42,0,171000.0
592,0,42,0,171000.0
593,0,42,0,171000.0
594,0,42,0,171000.0
595,0,42,0,171000.0
596,0,42,0,171000.0
597,0,42,0,171000.0
598,0,42,0,171000.0
599,0,42,0,171000.0
600,0,40,0,171000.0
601,0,48,0,171000.0
602,0,40,0,171000.0
603,0,44,0,171000.0
604,0,40,0,171000.0
605,0,40,0,171000.0
606,0,44,0,171000.0
607,0,40,0,171000.0
608,0,44,0,171000.0
609,0,44,0,171000.0
610,0,40,0,171000.0
611,0,40,0,171000.0
612,0,40,0,171000.0
613,0,40,0,171000.0
614,0,40,0,171000.0
615,0,44,0,171000.0
616,0,44,0,171000.0
617,0,44,0,171000.0
618,0,44,0,171000.0
619,0,44,0,171000.0
620,0,44,0,171000.0
621,0,40,0,171000.0
622,0,40,0,171000.0
623,0,44,0,171000.0
624,0,44,0,171000.0
625,0,40,0,171000.0
626,0,40,0,171000.0
627,0,40,0,171000.0
628,0,40,0,171000.0
629,0,40,0,171000.0
630,0,44,0,171000.0
631,0,44,0,171000.0
632,0,44,0,171000.0
633,0,44,0,171000.0
634,0,44,0,171000.0
635,0,44,0,171000.0
636,0,44,0,171000.0
637,0,44,0,171000.0
